1.0;;;;
9278f762-7118-49d2-8e60-a8c9e9d8b502;chocolates;Milka lait (1u = 1 carré);0.285714285714286;u
8656622d-f237-42c7-b875-130e20fab7a9;chocolates;Milka lait noisettes (1u = 1 carré);0.333333333333333;u
e7d09f2f-61be-42b5-a85e-d2c2e525f6be;chocolates;Nuts;2.0;u
e71a8587-943c-4f99-aecc-a9a8d680a859;chocolates;Nuts mini;1.0;u
bcc5865e-3047-4c03-b1a0-9f600f2efccb;baking_mixes;Barquette Lu abricot/fraise/framboise;0.285714285714286;u
152fea6c-213c-4cfd-834c-1943e2bd0f99;baking_mixes;Barquette Lu chocolat;0.5;u
6aa7535f-0193-4c2c-a0d6-b81de8edb7fc;baking_mixes;Chamonix Lu;0.5;u
81a3e3ef-a4a7-4f41-a6b3-aca341cb11e0;baking_mixes;Coqueline Lu 3 chatons fraise;0.285714285714286;u
01f59167-5c11-4eab-874d-02b6e7360f09;baking_mixes;Coqueline Lu 3 chatons chocolat;0.4;u
d8d91624-256f-4af2-98c2-93e3ca114df4;baking_mixes;Figolu Lu;0.4;u
e5453ac6-a568-46b4-9352-6e0fca87e5f4;baking_mixes;Fruitolu Lu fraise;1.0;u
1d10d6c2-9e1e-4610-ba48-2185f778f980;baking_mixes;Fruitolu Lu framboise;1.0;u
c8137a27-acb4-4c21-9f69-89dfdf850c66;baking_mixes;Gaufrette Lu Brun Cacao;0.666666666666667;u
81dbfcb6-a31e-492b-a17c-6a5fe083478d;baking_mixes;Gaufrette Lu Brun vanille;0.666666666666667;u
77b0e628-05a8-4eea-84ce-d54090a81c05;baking_mixes;Granola Lu Lait/chocolat coco;1.0;u
346ff433-2dd6-4b29-86f3-f53741a83a98;baking_mixes;Granola extra cookies chocolat;1.0;u
fae0c71c-5ff9-4533-b8e5-5f9d87978bf4;baking_mixes;Hello Kitty Lu fraise/chocolat;0.4;u
0f63309f-c4bb-4d32-aab9-355252221f72;baking_mixes;Lulu l'ourson chocolat;2.0;u
a790bf61-4a3c-4988-ba9c-53e8e02faf96;baking_mixes;Lulu l'ourson mini chocolat;0.4;u
834a34a2-e980-459a-af87-3a5254fc8edd;baking_mixes;Mikado Lu (tous);0.2;u
6f098263-9b78-44d6-9f32-5d43b72ac667;baking_mixes;Mini BN gouter chocolat/vanille;0.4;u
c2db98fc-ac15-4718-8c22-a158324a2aee;baking_mixes;Mini BN gouter fraise;0.285714285714286;u
205a4057-3855-4c7c-afc9-cd31349cf93a;baking_mixes;Napolitain classic individuel;1.33333333333333;u
4b7be307-ef54-45e8-a9ff-c292902565b9;baking_mixes;Oreo Classic;0.666666666666667;u
ecb3db47-75b8-48ae-aaab-ea35d0fa6a26;baking_mixes;Paille d'or Lu;0.1;u
306eedef-ada7-4537-ab1f-306a282143a7;baking_mixes;Palmito Lu;0.4;u
07d68448-37a7-488d-9985-a6cb7e5793a0;baking_mixes;Pépito Lu chocolat lait/noir;0.666666666666667;u
c0b5021a-309f-43b9-9ba2-e9decb479948;baking_mixes;Petit brun extra Lu;0.5;u
